TSTEP,Rh_litter,Rh_soil,Rh_total,C_litter,C_soil,C_total
3076,3.0356026,2.1144214,5.150024,4.352337,21.345917,25.698254
3077,3.0221012,2.4567435,5.4788446,4.3477306,21.346832,25.694563
3078,2.9187553,2.7169173,5.6356726,4.3433437,21.34738,25.690723
3079,3.212087,3.1182082,6.330295,4.338331,21.347862,25.686193
3080,3.1789072,3.5410001,6.7199073,4.3333893,21.347893,25.681282
3081,2.7255776,3.1659005,5.891478,4.329405,21.347797,25.677202
3082,2.76035,3.3541873,6.1145372,4.32535,21.347559,25.672909
3083,2.7500052,3.389534,6.1395392,4.321314,21.347282,25.668596
3084,2.648669,3.2416718,5.890341,4.3174915,21.34705,25.664541
3085,2.5101297,3.0690916,5.5792212,4.313959,21.346842,25.6608
3086,2.437531,3.1904206,5.6279516,4.3105907,21.346432,25.657022
3087,1.9493403,2.8094707,4.758811,4.3082714,21.345848,25.65412
3088,1.5849054,2.33834,3.9232454,4.306738,21.345322,25.65206
3089,1.5004246,2.079692,3.5801165,4.3053856,21.344961,25.650347
3090,1.7165592,2.1524603,3.8690195,4.3035717,21.34478,25.648352
3091,1.9215539,2.2173011,4.138855,4.3013153,21.344778,25.646093
3092,2.042652,2.3789122,4.421564,4.298805,21.344757,25.643562
3093,1.9777038,2.421242,4.398946,4.29644,21.344622,25.641062
3094,1.9164491,2.5173836,4.4338326,4.2942123,21.34432,25.638533
3095,2.100323,2.7608678,4.861191,4.2915916,21.343994,25.635586
3096,2.2718759,2.6312895,4.9031653,4.288595,21.344007,25.632603
3097,2.104214,2.3505447,4.4547586,4.285963,21.344112,25.630075
3098,1.9838591,2.0635104,4.0473695,4.2835846,21.344374,25.627958
3099,1.9295242,2.0931451,4.0226693,4.281328,21.344543,25.625872
3100,1.8025222,2.0583477,3.86087,4.279352,21.3446,25.623953
3101,1.8302865,2.1781807,4.008467,4.277319,21.344574,25.621893
3102,1.9198961,2.3871346,4.3070307,4.275095,21.344444,25.61954
3103,1.8454113,2.6158767,4.461288,4.2730427,21.343998,25.61704
3104,1.9832377,2.4307714,4.414009,4.2706795,21.34391,25.61459
3105,2.1361854,2.6480434,4.784229,4.2679844,21.34379,25.611774
3106,2.1051428,2.9432504,5.0483932,4.2653637,21.343338,25.608702
3107,2.2956417,3.1273358,5.4229774,4.2623234,21.342936,25.605259
3108,2.4646904,3.1929638,5.6576543,4.2589054,21.34268,25.601585
3109,2.2698402,3.2470956,5.516936,4.2559204,21.34214,25.59806
3110,2.1503482,3.0701632,5.2205114,4.253193,21.34164,25.594833
3111,2.0336723,3.194386,5.2280583,4.2507267,21.34088,25.591606
3112,2.2940917,3.387628,5.68172,4.2476826,21.340246,25.587929
3113,2.25337,3.28245,5.53582,4.244726,21.339678,25.584404
3114,1.869648,2.6576848,4.527333,4.242613,21.339277,25.58189
3115,1.9893229,2.9147499,4.9040728,4.24024,21.338766,25.579006
3116,2.1237428,3.3102076,5.4339504,4.2375717,21.338026,25.575598
3117,2.1687238,3.343922,5.5126457,4.2348003,21.337315,25.572115
3118,2.4118047,3.4159713,5.827776,4.2314854,21.336836,25.568321
3119,2.5135138,3.7949855,6.3084993,4.2279415,21.336111,25.564053
3120,2.3652563,3.7561488,6.121405,4.224724,21.335249,25.559973
3121,2.1552289,3.33797,5.493199,4.2219696,21.334557,25.556526
3122,1.876596,2.9118605,4.7884564,4.2198353,21.333954,25.55379
3123,1.4298215,2.1975942,3.6274157,4.2186985,21.333517,25.552216
3124,1.5458105,2.4577115,4.003522,4.2173023,21.332964,25.550266
3125,1.7796328,3.065121,4.8447537,4.2153873,21.33209,25.547478
3126,1.7693443,3.2309813,5.0003257,4.213499,21.331041,25.54454
3127,1.893028,3.2794597,5.1724877,4.2113304,21.330103,25.541433
3128,1.7000582,3.3712265,5.071285,4.2096024,21.32883,25.538433
3129,1.4499948,3.4891999,4.9391947,4.208441,21.32713,25.53557
3130,1.147217,3.5140946,4.6613116,4.207966,21.325024,25.53299
3131,1.0300982,3.6235907,4.653689,4.207758,21.322662,25.53042
3132,0.96751547,3.5577822,4.5252976,4.2077312,21.32029,25.52802
3133,1.4803536,3.1757514,4.656105,4.2065544,21.318943,25.525497
3134,1.6348886,2.788817,4.4237056,4.2050323,21.31818,25.523212
3135,1.8147354,3.006454,4.8211894,4.203108,21.317429,25.520536
3136,1.8899922,3.1887183,5.0787106,4.201021,21.31659,25.51761
3137,2.0422382,3.126852,5.1690903,4.198591,21.316008,25.514599
3138,1.6602461,2.9551742,4.6154203,4.1970234,21.315125,25.512148
3139,1.3017027,2.3777955,3.6794982,4.1963043,21.314371,25.510675
3140,1.4558158,2.2532308,3.7090466,4.195244,21.313936,25.50918
3141,1.3342314,2.1410148,3.4752462,4.194462,21.313463,25.507925
3142,1.2134864,1.925031,3.1385174,4.19396,21.313055,25.507015
3143,1.4254107,2.318898,3.7443087,4.1929893,21.312517,25.505507
3144,1.5131199,2.7772334,4.2903533,4.191826,21.311632,25.503458
3145,1.6278737,2.874675,4.5025487,4.1904144,21.310793,25.501207
3146,1.4050481,2.6340091,4.0390573,4.1895485,21.309917,25.499466
3147,1.3658328,2.6354957,4.0013285,4.18878,21.308992,25.497772
3148,1.3799477,2.8300943,4.210042,4.187992,21.307888,25.49588
3149,1.5551362,2.9728122,4.5279484,4.186821,21.306862,25.493683
3150,1.5986636,2.8591502,4.4578137,4.1855583,21.306007,25.491566
3151,1.4719067,2.681734,4.1536407,4.1845913,21.30517,25.489761
3152,1.5884109,2.7935686,4.3819795,4.1833744,21.304369,25.487743
3153,1.7791104,3.078917,4.8580275,4.181736,21.303524,25.48526
3154,1.768656,3.2075307,4.9761868,4.18013,21.30254,25.48267
3155,1.8101354,3.2983289,5.1084642,4.178438,21.30152,25.479958
3156,1.4053438,3.2979705,4.7033143,4.1776733,21.29999,25.477663
3157,0.7135794,2.8436306,3.55721,4.178482,21.298044,25.476526
3158,0.7098944,2.7599292,3.4698236,4.1793118,21.296177,25.475489
3159,1.0477746,2.44062,3.4883945,4.179394,21.29505,25.474443
3160,1.4293673,1.8992863,3.3286536,4.1786194,21.294943,25.473562
3161,1.6480815,2.1045837,3.7526653,4.1773643,21.294903,25.472267
3162,1.4927173,2.1701305,3.6628478,4.17647,21.294605,25.471075
3163,1.5066276,2.3470879,3.8537154,4.1755714,21.29415,25.46972
3164,1.6440063,2.645306,4.2893124,4.1743813,21.293566,25.467947
3165,1.739903,2.9461107,4.6860137,4.172983,21.292807,25.46579
3166,1.8206851,3.1196606,4.940346,4.171417,21.291975,25.463392
3167,1.8614872,3.2799814,5.1414685,4.1697483,21.291039,25.460787
3168,1.5802288,3.084713,4.664942,4.168743,21.289944,25.458687
3169,1.4780314,2.762194,4.2402253,4.1679783,21.289043,25.457022
